Name,State,Carnegie Classification,Control,Best Value Rank
United States Military Academy,NY,Baccalaureate Colleges--Arts & Sciences,Public,1
United States Naval Academy,MD,Baccalaureate Colleges--Arts & Sciences,Public,2
United States Air Force Academy,CO,Baccalaureate Colleges--Arts & Sciences,Public,3
United States Coast Guard Academy,CT,Baccalaureate Colleges--Diverse Fields,Public,4
United States Merchant Marine Academy,NY,Baccalaureate Colleges--Diverse Fields,Public,5
Berea College,KY,Baccalaureate Colleges--Arts & Sciences,Private,6
College of Charleston,SC,Master's Colleges and Universities (medium programs),Public,7
The Citadel,SC,Master's Colleges and Universities (larger programs),Public,8
"University of Massachusetts, Amherst",MA,Research Universities (very high research activity),Public,9
"University of Massachusetts, Lowell",MA,Research Universities (high research activity),Public,10
University of Wyoming,WY,Research Universities (high research activity),Public,11
Florida State University,FL,Research Universities (very high research activity),Public,12
University of Florida,FL,Research Universities (very high research activity),Public,13
"University of North Carolina, Chapel Hill",NC,Research Universities (very high research activity),Public,14
Brigham Young University,UT,Research Universities (high research activity),Private,15
"University of Oklahoma, Norman",OK,Research Universities (very high research activity),Public,16
University of South Dakota,SD,Research Universities (high research activity),Public,17
Appalachian State University,NC,Master's Colleges and Universities (larger programs),Public,18
Louisiana State University,LA,Research Universities (very high research activity),Public,19
"University of North Carolina, Asheville",NC,Baccalaureate Colleges--Arts & Sciences,Public,20
James Madison University,VA,Master's Colleges and Universities (larger programs),Public,21
"University of North Carolina, Wilmington",NC,Master's Colleges and Universities (larger programs),Public,22
Oklahoma State University,OK,Research Universities (high research activity),Public,23
"University of North Carolina, Charlotte",NC,Doctoral/Research Universities,Public,24
University of Idaho,ID,Research Universities (high research activity),Public,25
University of Mary Washington,VA,Master's Colleges and Universities (larger programs),Public,26
"Texas A&M University, College Station",TX,Research Universities (very high research activity),Public,27
"SUNY, Binghamton (Binghamton University)",NY,Research Universities (high research activity),Public,28
"Brigham Young University, Idaho",ID,Baccalaureate Colleges--Diverse Fields,Private,29
Utah State University,UT,Research Universities (high research activity),Public,30
South Dakota State University,SD,Research Universities (high research activity),Public,31
"North Carolina State University, Raleigh",NC,Research Universities (very high research activity),Public,32
East Carolina University,NC,Doctoral/Research Universities,Public,33
University of Central Florida,FL,Research Universities (very high research activity),Public,34
University of North Florida,FL,Master's Colleges and Universities (larger programs),Public,35
New College of Florida,FL,Baccalaureate Colleges--Arts & Sciences,Public,36
"University of North Carolina, Greensboro",NC,Research Universities (high research activity),Public,37
"California Polytechnic State University, San Luis Obispo",CA,Master's Colleges and Universities (larger programs),Public,38
University of Utah,UT,Research Universities (very high research activity),Public,39
Georgia Institute of Technology,GA,Research Universities (very high research activity),Public,40
Virginia Military Institute,VA,Baccalaureate Colleges--Arts & Sciences,Public,41
"University of Maryland, College Park",MD,Research Universities (very high research activity),Public,42
"SUNY, Stony Brook (Stony Brook University)",NY,Research Universities (very high research activity),Public,43
"Montana State University, Bozeman",MT,Research Universities (very high research activity),Public,44
University of Georgia,GA,Research Universities (very high research activity),Public,45
"SUNY, Geneseo",NY,Master's Colleges and Universities (smaller programs),Public,46
New Mexico Institute of Mining and Technology,NM,Master's Colleges and Universities (medium programs),Public,47
"CUNY, Baruch College",NY,Master's Colleges and Universities (larger programs),Public,48
Louisiana Tech University,LA,Research Universities (high research activity),Public,49
University of Montana,MT,Research Universities (high research activity),Public,50
"CUNY, Brooklyn College",NY,Master's Colleges and Universities (larger programs),Public,51
College of William and Mary,VA,Research Universities (high research activity),Public,52
University of Arkansas,AR,Research Universities (very high research activity),Public,53
San Diego State University,CA,Research Universities (high research activity),Public,54
"SUNY, Buffalo (University at Buffalo)",NY,Research Universities (very high research activity),Public,55
"CUNY, Queens College",NY,Master's Colleges and Universities (larger programs),Public,56
University of Virginia,VA,Research Universities (very high research activity),Public,57
"SUNY, College of Environmental Science and Forestry",NY,Doctoral/Research Universities,Public,58
University of West Florida,FL,Doctoral/Research Universities,Public,59
California Maritime Academy,CA,Baccalaureate Colleges--Diverse Fields,Public,60
University of Iowa,IA,Research Universities (very high research activity),Public,61
Texas Tech University,TX,Research Universities (high research activity),Public,62
"CUNY, Hunter College",NY,Master's Colleges and Universities (larger programs),Public,63
University of Mississippi,MS,Research Universities (high research activity),Public,64
Mississippi State University,MS,Research Universities (very high research activity),Public,65
"University of Colorado, Boulder",CO,Research Universities (very high research activity),Public,66
"University of Wisconsin, Madison",WI,Research Universities (very high research activity),Public,67
"SUNY, Albany (University at Albany)",NY,Research Universities (very high research activity),Public,68
"University of Nebraska, Lincoln",NE,Research Universities (very high research activity),Public,69
Sam Houston State University,TX,Doctoral/Research Universities,Public,70
Iowa State University,IA,Research Universities (very high research activity),Public,71
George Mason University,VA,Research Universities (high research activity),Public,72
Wichita State University,KS,Research Universities (high research activity),Public,73
West Virginia University,WV,Research Universities (high research activity),Public,74
Oregon State University,OR,Research Universities (very high research activity),Public,75
Towson University,MD,Master's Colleges and Universities (larger programs),Public,76
Colorado State University,CO,Research Universities (very high research activity),Public,77
"Indiana University, Bloomington",IN,Research Universities (very high research activity),Public,78
University of Washington,WA,Research Universities (very high research activity),Public,79
"University of California, Berkeley",CA,Research Universities (very high research activity),Public,80
"University of Texas, Austin",TX,Research Universities (very high research activity),Public,81
Texas State University,TX,Master's Colleges and Universities (larger programs),Public,82
University of Connecticut,CT,Research Universities (very high research activity),Public,83
Old Dominion University,VA,Research Universities (high research activity),Public,84
University of North Dakota,ND,Research Universities (high research activity),Public,85
Auburn University,AL,Research Universities (high research activity),Public,86
"Purdue University, West Lafayette",IN,Research Universities (very high research activity),Public,87
"University of California, Los Angeles",CA,Research Universities (very high research activity),Public,88
Virginia Tech,VA,Research Universities (very high research activity),Public,89
"Texas A&M University, Corpus Christi",TX,Doctoral/Research Universities,Public,90
University of South Florida,FL,Research Universities (very high research activity),Public,91
University of Oregon,OR,Research Universities (very high research activity),Public,92
Christopher Newport University,VA,Master's Colleges and Universities (smaller programs),Public,93
"University of Maryland, Baltimore County",MD,Research Universities (high research activity),Public,94
"University of Colorado, Colorado Springs",CO,Master's Colleges and Universities (larger programs),Public,95
"University of Missouri, Columbia",MO,Research Universities (very high research activity),Public,96
"Ohio State University, Columbus",OH,Research Universities (very high research activity),Public,97
"University of Tennessee, Knoxville",TN,Research Universities (very high research activity),Public,98
University of Kansas,KS,Research Universities (very high research activity),Public,99
North Dakota State University,ND,Research Universities (very high research activity),Public,100
